Timestamp,EventType,X,Y,Details,PrevAvgError
2025-04-10 19:04:01.746033,Add Obstacle,2.899,6.773,Obs1,0.196
2025-04-10 19:04:04.009451,Add Obstacle,1.798,5.854,Obs2,0.196
2025-04-10 19:04:04.550606,Add Obstacle,4.485,8.237,Obs3,0.196
2025-04-10 19:04:04.975700,Add Obstacle,6.838,2.601,Obs4,0.196
2025-04-10 19:04:07.355830,New Target,5.071,11.227,,0.196
2025-04-10 19:04:07.366999,New Target,5.051,11.227,,0.146
2025-04-10 19:04:09.808169,New Target,13.051,4.763,,0.135
2025-04-10 19:04:09.820080,New Target,13.799,4.763,,0.166
2025-04-10 19:04:12.698138,Add Obstacle,12.228,11.833,Obs5,0.186
2025-04-10 19:04:12.874156,New Target,12.228,11.833,,0.186
2025-04-10 19:04:16.256636,New Target,2.232,12.470,,0.179
2025-04-10 19:04:16.268392,New Target,2.085,12.905,,0.147
2025-04-10 19:04:18.891899,New Target,10.457,10.890,,0.144
2025-04-10 19:04:18.904994,New Target,10.457,10.268,,0.139
2025-04-10 19:04:21.599321,Add Obstacle,7.020,11.874,Obs6,0.140
2025-04-10 19:04:22.227734,Add Obstacle,6.485,10.793,Obs7,0.140
2025-04-10 19:04:23.175913,Add Obstacle,-1.202,8.328,Obs8,0.140
2025-04-10 19:04:24.335890,Add Obstacle,11.808,4.359,Obs9,0.140
2025-04-10 19:04:24.843406,Add Obstacle,12.414,7.136,Obs10,0.140
2025-04-10 19:04:25.315235,Add Obstacle,4.626,2.470,Obs11,0.140
2025-04-10 19:04:25.856889,Add Obstacle,9.879,2.672,Obs12,0.140
2025-04-10 19:04:26.739158,Add Obstacle,-1.818,3.126,Obs13,0.140
2025-04-10 19:04:27.222203,Add Obstacle,-1.667,1.571,Obs14,0.140
2025-04-10 19:04:27.671101,Add Obstacle,-0.212,3.076,Obs15,0.140
2025-04-10 19:04:28.684454,Add Obstacle,10.121,4.894,Obs16,0.140
2025-04-10 19:04:29.279084,Add Obstacle,7.152,0.429,Obs17,0.140
2025-04-10 19:04:29.820601,Add Obstacle,3.758,1.530,Obs18,0.140
2025-04-10 19:04:30.873353,Add Obstacle,2.051,9.490,Obs19,0.140
2025-04-10 19:04:31.375294,New Target,4.949,9.742,,0.140
2025-04-10 19:04:31.391244,New Target,4.925,9.589,,0.090
2025-04-10 19:04:34.175587,New Target,9.443,11.892,,0.100
2025-04-10 19:04:34.193331,New Target,9.443,11.892,,0.090
2025-04-10 19:04:37.142764,New Target,11.818,7.255,,0.116
2025-04-10 19:04:37.159834,New Target,11.818,7.255,,0.111
2025-04-10 19:04:39.407752,Add Obstacle,3.151,9.179,Obs20,0.123
2025-04-10 19:04:40.908937,New Target,5.833,6.435,,0.123
2025-04-10 19:04:40.924052,New Target,5.833,6.435,,0.104
2025-04-10 19:04:42.447460,Add Obstacle,10.784,5.363,Obs21,0.118
2025-04-10 19:04:43.608009,Add Obstacle,5.600,7.266,Obs22,0.118
2025-04-10 19:04:44.106577,Add Obstacle,5.906,4.375,Obs23,0.118
2025-04-10 19:04:44.742564,New Target,1.367,6.541,,0.118
2025-04-10 19:04:44.781053,New Target,1.367,6.541,,0.080
2025-04-10 19:04:46.342587,New Target,1.990,10.725,,0.083
2025-04-10 19:04:46.360043,New Target,1.990,10.725,,0.086
2025-04-10 19:04:48.559387,New Target,13.128,10.945,,0.106
2025-04-10 19:04:48.579615,New Target,13.245,10.945,,0.111
2025-04-10 19:04:51.975533,New Target,6.900,10.388,,0.114
2025-04-10 19:04:51.993436,New Target,6.783,10.388,,0.092
2025-04-10 19:04:54.558074,New Target,10.520,-0.619,,0.073
2025-04-10 19:04:54.574975,New Target,10.520,-2.012,,0.131
2025-04-10 19:04:56.774299,Add Obstacle,2.760,-0.775,Obs24,0.133
2025-04-10 19:04:57.237157,Add Obstacle,5.220,-1.662,Obs25,0.133
2025-04-10 19:04:58.090485,Add Obstacle,-0.438,-2.063,Obs26,0.133
2025-04-10 19:04:58.571970,Add Obstacle,-2.666,-0.585,Obs27,0.133
2025-04-10 19:04:59.309340,New Target,11.343,2.139,,0.133
2025-04-10 19:04:59.327925,New Target,11.227,1.743,,0.111
2025-04-10 19:05:01.775682,New Target,-2.688,-1.677,,0.091
2025-04-10 19:05:01.790726,New Target,-2.708,-2.504,,0.138
